first_name,last_name,name_suffix,npi,address,city,postcode,phone,specialty,record_id
David,Davies,,9280032515,8 Victoria Road,Middlesbrough,TS13 5XX,44049870152,general practice,R0003519
Chen,Patel,,5672868680,279 Station Road,York,TS9 2XX,79566468121,ortho surgery,R0002473
Aisha,Brown, MD,,270 high st,York,TS28 4XX,69037594336,cardiology,R0006727
Omar,Evans,,8585464689,207 Church Lane,Middlesbrough,TS19 3XX,28473668154,pediatrics,R0001419
James,Roberts,,8472149891,114 Church Lane,Leeds,TS1 4XX,82951842928,orthopedics,R0006957
S.,Nguyen, Jr,5117866898,245 high st,Newcastle,TS15 7XX,(7681) 8327909,ortho surgery,R0002441
Mohammed,Wilson,,4461439084,257 Victoria Road,Middlesbrough,TS11 5XX,32086184913,family medicine,R0005856
W.,Ali, Jr,7081886688,202 Park Avenue,Middlesbrough,TS20 2XX,(0149) 0001580,pediatrics,R0001954
Lucy,Jones,,7577525899,117 High Street,York,TS4 6XX,90698319959,pediatrics,R0000101
James,Roberts, Jr,8472149891,114 Church Ln,Leeds,TS1 4XX,(8295) 1842928,orthopaedics,R0006958
Mohammed,Patel,,3478919516,178 High Street,York,TS25 8XX,21519312378,ortho surgery,R0001575
James,Wilson,,2145068059,295 Victoria Road,York,TS21 3XX,61747842738,family medicine,R0007048
Graec,Ali, Dr,2882242177,140 Park Avenue,Durham,TS6 5XX,59815974604,orthopedics,R0004704
L.,Khan,,5887373356,63 Station Rd,Newcastle,TS26 3XX,20419882642,ortho surgery,R0001894
Chen,Ahmed,,6165271795,81 High Street,York,TS16 5XX,26255678778,general practice,R0000468
Priya,Williams,,4978910528,138 Church Lane,Middlesbrough,TS7 3XX,03586047359,paediatrics,R0001649
Elena,Patel,,5698229343,257 Station Road,York,TS9 4XX,31784265557,pediatrics,R0000789
Rajesh,Taylor,,,225 park ave,Leeds,TS4 8XX,77784561072,cardiology,R0002835
Grace,Evans,,1859374514,276 High Street,Durham,TS21 7XX,48849724133,orthopedics,R0002577
Fatima,Williams,,6989042973,71 Church Lane,Durham,TS15 4XX,04388708349,gp,R0000132
Lucy,Evans,,8138260937,194 Park Avenue,Durham,TS8 1XX,94639766052,family medicine,R0005473
David,Thomas,,9977790505,118 Station Road,Leeds,TS26 6XX,58061215674,paediatrics,R0000642
Lucy,Roberts, Dr,8693705294,277 Station Road,York,TS3 2XX,46506080058,orthopedics,R0002024
Sarah,Roberts,,3341818524,223 Park Avenue,Newcastle,TS10 8XX,59467848120,orthopaedics,R0006237
Chen,Smith, MD,,254 Victoria Rd,Newcastle,TS11 3XX,7061 206 6490,orthopaedics,R0005306
Lucy,Davies,,5320590984,170 Station Road,York,TS25 1XX,40603772515,pediatrics,R0001533
Fatima,Thomas, Dr,4106561458,28 High St,Durham,TS20 5XX,0166 673 2965,pediatrics,R0003357
Rajesh,Taylor,,5367894780,257 Church Lane,Durham,TS14 1XX,64600696982,orthopedics,R0001511
O.,Brown,,2244067264,112 High Street,Durham,TS21 6XX,(0416) 4680259,cardiology,R0005120
Jaems,Jones, Jr,0690651679,152 High St,Middlesbrough,TS16 7XX,13462212979,cardiology,R0003916
Wei,Smith,,7282525831,11 Station Road,Middlesbrough,TS22 4XX,47541636019,gp,R0006434
Jonh,Ahmed, Dr,,22 station rd,Newcastle,TS3 2XX,9607 988 8787,cardiovascular medicine,R0002833
Amara,Ahmed,,5476460227,48 Church Lane,Middlesbrough,TS18 6XX,86924141363,orthopaedics,R0005741
Amara,Evans,,0893915949,191 Station Road,Leeds,TS19 1XX,27135750543,cardiology,R0007086
Wei,Ngueyn,,5884373443,115 High Street,Leeds,TS20 4XX,66340742504,cardiology,R0003686
Grace,Davies,,8562487552,144 station rd,Durham,TS4 1XX,(5794) 1631670,orthopaedics,R0003221
Fatmia,Taylor, Jr,,32 church ln,Newcastle,TS6 2XX,(8741) 5702325,cardiovascular medicine,R0003815
Omar,Jones,,1216601418,82 Church Lane,York,TS1 6XX,77520351020,pediatrics,R0001502
Omra,Sharma, MD,5667025183,40 Station Rd,York,TS23 8XX,4235 483 7197,cardiovascular medicine,R0006263
Aisha,Smith, MD,0785392490,175 Victoria Rd,Newcastle,TS15 8XX,16832558308,paediatrics,R0005897
Elena,Davies,,3134085088,208 High Street,Middlesbrough,TS11 5XX,74606954290,orthopedics,R0000263
Elena,Jones, Dr,2021139616,241 victoria rd,Middlesbrough,TS8 4XX,(1562) 2755075,cardiovascular medicine,R0004739
C.,Williams,,,282 station road,Newcastle,TS22 1XX,20359342537,orthopedics,R0004684
Lucy,Williams, Dr,,247 Station Road,Newcastle,TS10 2XX,02776035921,orthopedics,R0003346
Elena,Taylor,,8796703595,220 Park Avenue,Middlesbrough,TS23 8XX,37286558216,cardiovascular medicine,R0006130
Lucy,Sharma,,1954974105,265 High Street,Leeds,TS20 1XX,94814968673,orthopaedics,R0002088
John,Williams,,7522358296,70 Church Lane,Leeds,TS12 7XX,95052751299,cardiology,R0005099
Lcuy,Sharma, MD,8673376586,3 Station Road,Newcastle,TS21 4XX,(8084) 2860246,cardiology,R0003033
Chen,Wilson,,9204118302,37 Station Road,Newcastle,TS19 5XX,57143056603,cardiology,R0002678
Grace,Sharma,,6659729902,292 Park Avenue,Newcastle,TS21 5XX,30854912829,paediatrics,R0001084
Amara,Brown,,0879798472,196 Park Avenue,Durham,TS13 6XX,26439072211,pediatrics,R0000544
Amara,Nguyen,,9432340277,140 High Street,Newcastle,TS4 2XX,01184102444,orthopedics,R0003898
David,Khan, Jr,2379833259,78 Station Road,Durham,TS8 3XX,(5786) 6861050,general practice,R0004059
Fatima,Ali, MD,3841440417,65 Church Lane,Leeds,TS1 5XX,74917432406,family medicine,R0002110
Sarah,Sharma,,3146469172,142 High St,Leeds,TS12 8XX,(3793) 1944735,paediatrics,R0002398
Wei,Khan, MD,7408324342,91 high st,Durham,TS22 8XX,1147 665 9304,general practice,R0006134
Wei,Borwn, Dr,6412030766,69 Victoria Rd,York,TS16 5XX,24242230619,general practice,R0005862
G.,Brown, Dr,8949074514,3 Victoria Road,Newcastle,TS24 3XX,71437451191,orthopedics,R0007277
Fatima,Ali,,9967027996,20 High Street,Newcastle,TS10 1XX,7136 991 1830,cardiovascular medicine,R0001656
Grace,Nguyen,,6502121622,184 Victoria Road,York,TS22 1XX,68116672302,paediatrics,R0004692
Jonh,Ahmed,,4668528915,26 Church Ln,Durham,TS2 2XX,(1866) 3105739,orthopedics,R0006533
Rajesh,Davies,,4636220011,5 Park Avenue,Leeds,TS11 2XX,42305269458,orthopaedics,R0002177
David,Roberts,,1945841290,204 Victoria Road,Durham,TS15 3XX,80723051134,cardiovascular medicine,R0002522
Fatima,Khan, MD,,279 Victoria Rd,Middlesbrough,TS17 6XX,5398 809 5635,cardiovascular medicine,R0004294
James,Taylor,,7188339873,147 Church Lane,Durham,TS21 2XX,00341038267,paediatrics,R0004927
Mohammed,Wilson,,6155376577,251 Church Lane,Leeds,TS22 6XX,91495900735,pediatrics,R0000065
Wei,Davies,,1571447575,271 station road,York,TS27 4XX,7600 514 4473,cardiology,R0004125
Wei,Davies,,4287227228,121 Park Avenue,Newcastle,TS7 1XX,28744403863,paediatrics,R0004366
Rajehs,Ahmed,,7687225362,1 Church Lane,Durham,TS25 3XX,8563 736 9534,orthopaedics,R0006338
Aisha,Ali,,2501446337,89 Victoria Road,Durham,TS7 4XX,52181110216,gp,R0004730
Rajesh,Khan,,0216124518,70 High Street,Middlesbrough,TS5 1XX,17605204890,family medicine,R0006615
Amara,Brown,,6640050687,231 Park Avenue,Leeds,TS20 2XX,90540175116,family medicine,R0002312
David,Khan,,7855320450,157 Station Road,York,TS7 5XX,49103896679,cardiovascular medicine,R0003901
Rajesh,Sharma,,0725148641,214 Station Rd,Newcastle,TS28 3XX,6742 343 4131,cardiology,R0003836
John,Sharma,,8853088457,118 Park Avenue,Middlesbrough,TS20 8XX,7452 623 2330,cardiology,R0000318
Lucy,Khan, MD,0152403445,254 Station Rd,Newcastle,TS25 5XX,6418 798 2229,cardiology,R0000061
Amara,Wilson,,5973849066,219 Station Road,Durham,TS5 2XX,48029492530,paediatrics,R0005638
Lucy,Davies,,0420912346,239 Station Road,Durham,TS5 8XX,85077624463,orthopaedics,R0002415
Amara,Khan,,7728622055,170 High Street,Durham,TS9 2XX,15956868516,cardiovascular medicine,R0003946
Chen,Evans,,7981079786,37 Church Lane,Middlesbrough,TS20 3XX,28647749044,cardiology,R0002620
James,Williams,,0216140943,42 Station Road,Middlesbrough,TS8 7XX,38136038491,ortho surgery,R0004215
Chen,Jones,,3692818215,23 Victoria Road,Newcastle,TS11 1XX,01648079799,family medicine,R0006716
Aisha,Smith, Jr,8200755800,267 Victoria Road,Durham,TS23 5XX,15911346191,paediatrics,R0001144
James,Thomas,,4867540394,273 Station Road,Newcastle,TS1 6XX,66089665393,cardiovascular medicine,R0005414
Sarah,Brown,,6455106909,39 Victoria Road,Durham,TS17 3XX,5023 524 7980,cardiovascular medicine,R0002842
Chen,Ahmed, Dr,6934614532,121 Church Ln,Newcastle,TS13 7XX,(6195) 5602763,cardiovascular medicine,R0002225
Elena,Davies,,2044583026,192 Victoria Road,York,TS8 6XX,28185864613,gp,R0005684
Chen,Brown,,0976090009,179 Victoria Road,Middlesbrough,TS13 5XX,52009698206,pediatrics,R0002902
Sarah,Thomas,,7553458457,287 Victoria Road,Newcastle,TS11 7XX,40023411092,paediatrics,R0002865
Fatima,Ngyuen,,7236397386,203 Station Rd,York,TS19 2XX,63957516619,paediatrics,R0003904
Lucy,Brown,,1569198722,160 Church Lane,Middlesbrough,TS20 7XX,46796219784,general practice,R0002094
G.,Brown, Dr,2674776324,270 Victoria Road,Middlesbrough,TS10 8XX,(8111) 3006144,cardiology,R0006792
Fatima,Ahmed,,4489269074,182 Victoria Road,York,TS25 2XX,19551283532,general practice,R0000169
David,Wilson,,2426909605,201 High Street,Newcastle,TS9 1XX,85685750992,cardiovascular medicine,R0002922
Chen,Smith,,6541635285,267 Church Lane,Newcastle,TS3 2XX,14186432954,general practice,R0006095
Chen,Sharma,,9238370967,20 High Street,Newcastle,TS15 2XX,1062 920 8758,family medicine,R0002446
L.,Evans,,5687538588,166 Church Lane,Durham,TS24 6XX,(7284) 8182604,paediatrics,R0005050
Elena,Williams, Jr,1317759283,263 Church Ln,Newcastle,TS15 2XX,48882743391,pediatrics,R0003350
Mohammed,Jones,,,152 Park Avenue,Newcastle,TS24 3XX,(6181) 8127973,ortho surgery,R0003172
Lcuy,Thomas,,1021091521,66 Station Road,Leeds,TS14 5XX,97013525709,orthopedics,R0006604
Amara,Brown,,4614458014,191 High Street,York,TS19 8XX,21179349205,paediatrics,R0007045
Lucy,Sharma,,9088394036,243 Church Lane,Durham,TS25 7XX,66185743712,gp,R0006056
Omar,Smith,,9211272250,299 Station Road,York,TS19 2XX,16249089924,general practice,R0006174
C.,Khan,,9001183966,37 Church Lane,Middlesbrough,TS26 4XX,35283427698,paediatrics,R0006306
M.,Wilson,,8067424896,99 Church Lane,Durham,TS20 7XX,(1032) 6597187,general practice,R0002057
Lucy,Jones,,4018036212,210 Victoria Road,Leeds,TS4 7XX,46830339563,gp,R0006969
Amara,Smith,,2079075263,137 Victoria Road,Durham,TS8 6XX,96636807275,cardiology,R0006765
Priya,Taylor,,3669898608,228 Station Road,Leeds,TS28 5XX,53933739468,gp,R0006180
Rajesh,Ali, Jr,0141273311,262 Victoria Rd,Leeds,TS2 3XX,37309530268,family medicine,R0005758
Chen,Shamra,,9238370967,20 High St,Newcastle,TS15 2XX,1062 920 8758,general practice,R0002447
L.,Brown, Jr,0476762559,180 Park Avenue,Durham,TS9 4XX,(2615) 5697224,gp,R0005983
W.,Patel, Jr,2792577188,279 Park Ave,York,TS12 8XX,8573 709 5515,cardiovascular medicine,R0000554
Mohammed,Ali,,4886966230,259 Park Avenue,Durham,TS21 6XX,29461549793,family medicine,R0002796
Lucy,Brown,,6379738098,171 Park Avenue,Durham,TS8 4XX,13537853357,cardiology,R0001514
Grace,Sharam,,9989554555,86 Station Rd,Durham,TS10 1XX,92561246999,ortho surgery,R0005762
Aisha,Brown,,8839710171,66 Station Road,York,TS4 3XX,69475459050,cardiovascular medicine,R0000742
James,Patel,,1040859008,105 Station Road,Durham,TS6 1XX,45102199043,orthopedics,R0001992
Amara,Wilson,,8445249629,260 Park Avenue,Newcastle,TS23 1XX,00441077763,cardiovascular medicine,R0005141
Rajesh,Williams,,7618259696,100 Victoria Road,York,TS5 2XX,51440803800,gp,R0003560
Mohammed,Sharma,,6896716596,47 Park Avenue,Newcastle,TS4 5XX,83799239326,family medicine,R0004715
James,Williams,,0972448157,221 Victoria Road,Leeds,TS11 6XX,59234511404,pediatrics,R0005046
John,Thomas,,3032346271,282 Church Lane,Newcastle,TS21 4XX,36481709409,cardiology,R0005151
Rajesh,Davies,,6858561909,24 Church Lane,Leeds,TS13 1XX,40411713655,orthopaedics,R0002926
Fatima,Ahemd,,0060028474,225 High St,Leeds,TS3 7XX,1395 457 2685,pediatrics,R0000037
John,Williams, Dr,9029760151,8 park avenue,Leeds,TS15 6XX,09822868569,cardiovascular medicine,R0007379
Chen,Smith,,9520819926,92 Church Lane,York,TS3 4XX,45341356163,cardiology,R0005210
David,Wilson, Dr,4987611907,188 Church Ln,Durham,TS29 4XX,5032 833 4579,cardiovascular medicine,R0003908
Priya,Brown,,1037947266,138 Station Rd,York,TS20 3XX,6250 458 3005,family medicine,R0002301
Chen,Thomas,,7796301483,18 Church Lane,Newcastle,TS17 8XX,75678712023,general practice,R0007142
Lucy,Taylor,,7112166525,111 High Street,York,TS5 1XX,11456410792,general practice,R0000465
Sarah,Wilson,,8767188048,3 Church Lane,Newcastle,TS28 4XX,03245413602,cardiovascular medicine,R0000095
Priya,Robetrs,,0759516622,2 Church Ln,York,TS8 6XX,81741291075,ortho surgery,R0004655
Omar,Taylor,,3346931919,107 High Street,Leeds,TS29 2XX,16106979569,family medicine,R0001650
Moahmmed,Thomas, Jr,8515287881,279 High Street,Durham,TS18 7XX,68310405425,cardiology,R0001545
Amara,Jones,,5546408796,228 Victoria Road,Durham,TS29 2XX,24253336108,orthopaedics,R0006334
O.,Nguyen,,,212 Church Ln,Middlesbrough,TS5 3XX,37440098049,pediatrics,R0002623
R.,Khan,,3163815409,178 Park Avenue,Newcastle,TS3 7XX,7618 590 8364,general practice,R0006770
Wei,Davies,,3442936199,71 High Street,Durham,TS18 2XX,77867775706,pediatrics,R0001795
David,Williams,,0590363110,3 Victoria Road,York,TS28 6XX,39218545929,ortho surgery,R0001263
Lucy,Thomas,,5364341914,267 Church Lane,Newcastle,TS15 7XX,57379643511,orthopaedics,R0006693
W.,Ahmed,,4285562586,88 Victoria Rd,Middlesbrough,TS21 6XX,(8914) 9815375,ortho surgery,R0002908
C.,Taylor,,1569165500,250 park avenue,Middlesbrough,TS18 1XX,83434566918,ortho surgery,R0001174
James,Smith,,6789073924,257 Station Road,Durham,TS27 5XX,33662399370,cardiovascular medicine,R0004421
Rajesh,Ali,,3980342802,253 Station Road,York,TS21 1XX,64608527431,cardiology,R0003050
John,Thomas,,1349518701,128 Victoria Road,Middlesbrough,TS28 4XX,2157 234 4947,orthopedics,R0007469
O.,Wilson, Jr,3382653407,292 High Street,Middlesbrough,TS8 5XX,(2893) 9013957,pediatrics,R0001617
Rajesh,Patel,,9040946823,221 Park Avenue,Newcastle,TS6 4XX,21141615241,cardiology,R0004161
Sarah,Thomas,,2469641460,42 Park Ave,Middlesbrough,TS24 8XX,09208349956,ortho surgery,R0004897
Chen,Wilson, Dr,,171 High St,Newcastle,TS25 8XX,5772 527 9002,orthopedics,R0001632
Pryia,Ali, Dr,,218 Park Ave,Middlesbrough,TS23 4XX,2592 676 6721,ortho surgery,R0002208
John,Thomas, Dr,7069556549,205 High St,Newcastle,TS5 2XX,6692 025 3295,general practice,R0001393
Chen,Simth,,,240 Church Lane,Newcastle,TS29 6XX,9804 840 0688,gp,R0006211
Fatima,Ahmed,,5857380321,258 Church Lane,Newcastle,TS5 8XX,88094535573,general practice,R0002317
Lucy,Davies,,4016410568,159 Victoria Road,Middlesbrough,TS1 4XX,16664143806,gp,R0007294
Rajseh,Thomas,,1002192662,51 high st,Middlesbrough,TS26 4XX,(0641) 1730719,gp,R0004309
Priya,Taylor,,8962361578,25 High Street,Leeds,TS8 5XX,19934408735,family medicine,R0000970
Rajesh,Taylor,,4600432321,219 victoria rd,Middlesbrough,TS1 7XX,(8291) 9949574,general practice,R0005440
James,Ali,,1338699715,177 Church Lane,Leeds,TS2 1XX,37192600516,cardiology,R0003910
Sarah,Patel,,9258983803,214 High Street,York,TS26 7XX,91774019269,cardiology,R0000763
Amara,Williams,,3369791079,216 Church Ln,York,TS15 2XX,9074 878 7650,paediatrics,R0004660
Elena,Davies, MD,,51 Park Ave,Durham,TS13 2XX,4977 356 6862,pediatrics,R0001057
Sarah,Khan,,,55 Station Road,Newcastle,TS23 3XX,33446474337,cardiology,R0001163
Rjaesh,Nguyen,,6996113331,16 High St,York,TS17 3XX,34110303326,paediatrics,R0004539
A.,Ahmed,,5476460247,48 Church Ln,Middlesbrough,TS18 6XX,8692 414 1363,orthopedics,R0005743
Fatima,Wilson,,7621931088,29 Victoria Road,Newcastle,TS5 1XX,55086659755,gp,R0003123
Elena,Davies,,9733493286,5 Church Lane,Newcastle,TS12 6XX,33787732578,cardiology,R0006326
Rajesh,Ahmed,,5114020680,289 Victoria Road,York,TS5 3XX,33395133981,gp,R0005212
Mohammed,Jones,,2274415974,170 Station Road,Leeds,TS1 1XX,78969422270,gp,R0000733
Aisha,Davies,,5652003782,246 Station Road,Middlesbrough,TS27 2XX,50887149818,pediatrics,R0005096
Chen,Roberts,,9190288280,108 Station Road,Middlesbrough,TS15 8XX,65163615479,ortho surgery,R0003035
Aisha,Roberts,,8970247781,298 Church Ln,Durham,TS12 3XX,68440209872,ortho surgery,R0004025
David,Wilson,,6815823476,268 High Street,Leeds,TS24 6XX,54984383491,ortho surgery,R0003135
Priya,Nguyen,,3117222315,205 Church Lane,Middlesbrough,TS20 8XX,83540538537,general practice,R0006460
Davdi,Brown, MD,6725903599,233 Church Lane,York,TS13 4XX,7558 197 5555,orthopedics,R0001891
Pryia,Ahmed,,3919332309,111 station rd,Newcastle,TS23 6XX,3637 874 8078,gp,R0004743
Chen,Ahmed,,6042817846,234 Church Lane,Durham,TS20 3XX,69332983974,paediatrics,R0002111
Aisha,Jones, Dr,4712725774,217 station road,Leeds,TS2 1XX,(1849) 0964592,paediatrics,R0006120
Mohammed,Bronw, MD,2538219708,29 high street,Durham,TS1 3XX,80432133171,pediatrics,R0003383
John,Sharma,,,118 park avenue,Middlesbrough,TS20 8XX,(7452) 6232330,cardiovascular medicine,R0000319
Amara,Williams,,9522305057,36 Park Avenue,Middlesbrough,TS22 4XX,74440468532,cardiovascular medicine,R0004625
Mohammed,Taylor, Dr,2904154878,153 Station Road,Leeds,TS13 1XX,71513911909,cardiovascular medicine,R0004568
Amara,Roberts,,0453633268,46 High Street,York,TS7 2XX,97966768314,pediatrics,R0001561
Jmaes,Davies,,,124 High St,Leeds,TS23 8XX,27811177116,orthopaedics,R0001768
Chen,Taylor,,1569165500,250 Park Avenue,Middlesbrough,TS18 1XX,83434566918,orthopaedics,R0001172
Chen,Brown,,,176 Station Road,York,TS26 3XX,8102 004 4212,orthopaedics,R0006220
Grace,Patel, Jr,8834357690,269 Victoria Rd,Newcastle,TS12 2XX,29000170935,family medicine,R0002716
Priay,Evans,,6776821311,294 High Street,York,TS24 1XX,(6941) 6214037,paediatrics,R0004172
Omar,Thomas,,0465919446,233 Victoria Road,Middlesbrough,TS22 3XX,64177319383,paediatrics,R0007355
P.,Ahmed,,0991175894,45 Station Rd,Durham,TS19 4XX,2254 408 7986,paediatrics,R0001074
Priya,Patel,,5009541752,144 Park Avenue,Leeds,TS15 5XX,28721345406,pediatrics,R0001934
Grace,Thomas,,5151677571,235 High Street,York,TS22 5XX,7605 565 4666,paediatrics,R0006859
David,Roberts,,2764583895,180 Church Lane,Middlesbrough,TS12 5XX,33033809676,orthopedics,R0006212
Lucy,Davies,,7439633640,105 high street,York,TS6 7XX,3878 656 5931,orthopaedics,R0006402
Priya,Sharma,,2644837817,171 High Street,Durham,TS7 3XX,81578235515,cardiology,R0002431
Elena,Thomas,,8165326833,215 Victoria Road,Durham,TS22 5XX,11030409401,general practice,R0003977
David,Jones,,5506085449,164 Park Avenue,Newcastle,TS24 7XX,85312647542,paediatrics,R0005653
Rajesh,Sharma,,4901063022,172 High St,Durham,TS1 8XX,(9922) 9658141,orthopedics,R0003132
Mohammed,Smith, MD,,96 station road,York,TS13 5XX,75544634687,cardiovascular medicine,R0006856
Elnea,Roberts, Dr,1014917633,286 Victoria Rd,Durham,TS7 8XX,40884728325,family medicine,R0000711
Elena,Brown,,,221 Victoria Rd,Durham,TS8 5XX,4330 998 3928,gp,R0001221
A.,Ali,,,47 High Street,Durham,TS26 7XX,38365001994,pediatrics,R0000457
Chen,Ali,,3690572281,174 Station Road,Newcastle,TS18 6XX,53722416973,orthopedics,R0004857
Grace,Ali,,4976389175,280 Station Road,Leeds,TS7 2XX,27201839334,cardiology,R0005322
Aisha,Ahmed,,9740927180,89 High Street,Leeds,TS23 8XX,25782170845,pediatrics,R0003937
Lucy,Ngyuen,,2176351772,151 Church Ln,Leeds,TS1 2XX,9410 393 9477,cardiovascular medicine,R0000429
Aisha,Smith,,8966970740,52 Station Road,York,TS3 8XX,27279692137,orthopedics,R0006924
O.,Patel,,,167 victoria rd,Leeds,TS15 4XX,3371 980 8592,cardiology,R0005410
O.,Khan, Jr,4176431963,138 Church Lane,Durham,TS21 4XX,36650469535,family medicine,R0000079
James,Ahmed,,2464776552,128 Church Lane,York,TS28 3XX,71092623720,cardiovascular medicine,R0006437
Mohamemd,Williams, Dr,3141038989,175 Park Ave,Durham,TS1 4XX,4457 707 3592,paediatrics,R0003621
Mohammed,Nguyen,,8976598400,228 Station Road,Middlesbrough,TS7 1XX,90631797956,orthopedics,R0000251
Grace,Davies,,6007346431,117 Victoria Road,Leeds,TS24 2XX,30043121733,pediatrics,R0007185
John,Roberts,,7429883429,105 Victoria Road,Middlesbrough,TS8 5XX,44368948617,pediatrics,R0000683
John,Khan, Jr,9377698145,186 Church Lane,York,TS6 8XX,6836 252 9545,general practice,R0004317
Chen,Sharma, MD,0344397399,264 Station Road,Newcastle,TS27 3XX,(3586) 6279850,cardiovascular medicine,R0007211
Fatima,Taylor,,6273510519,148 Victoria Road,Leeds,TS9 5XX,28141814841,pediatrics,R0001103
Fatima,Patel,,8692931807,111 Station Road,Durham,TS9 1XX,83609649432,paediatrics,R0004046
Grace,Patel,,9260198218,97 Victoria Road,Middlesbrough,TS20 3XX,74135709689,orthopedics,R0000230
Lucy,Paetl, Jr,6867322122,38 park avenue,Leeds,TS5 6XX,52727055363,paediatrics,R0000994
Mohammed,Sharma,,9527840431,113 Park Avenue,Durham,TS12 4XX,71945540787,cardiovascular medicine,R0004147
Priya,Taylor,,9246611759,196 Victoria Road,Middlesbrough,TS11 7XX,21153990907,ortho surgery,R0002850
John,Nguyen,,9507887305,255 Park Avenue,Middlesbrough,TS21 2XX,15935150983,cardiovascular medicine,R0007315
A.,Davies, Dr,7945784334,99 High St,Newcastle,TS14 1XX,9598 866 1005,cardiology,R0007002
John,Jonse, MD,3872460713,174 Station Rd,Middlesbrough,TS17 4XX,2437 594 6474,cardiovascular medicine,R0005481
Sarah,Brown,,6100139959,280 High Street,York,TS13 1XX,54744240532,family medicine,R0002252
J.,Thomas,,3136129411,178 Park Ave,Leeds,TS6 4XX,38725931269,cardiology,R0001009
Fatima,Khan,,8218395751,210 High Street,Durham,TS21 8XX,42936557036,orthopaedics,R0007396
Priya,Khan,,3794556605,45 Station Road,Newcastle,TS27 3XX,52018312641,pediatrics,R0005107
John,Roberts, Jr,9169810069,37 Park Avenue,Newcastle,TS6 4XX,(0691) 9978083,family medicine,R0006877
Elena,Roberts,,4409574220,75 Victoria Road,York,TS11 6XX,14497725906,orthopaedics,R0002653
Omar,Sharma,,3735621823,111 Church Lane,Middlesbrough,TS2 4XX,95568805529,general practice,R0001075
Chen,Davies,,3661160106,216 victoria rd,York,TS5 5XX,(4545) 3953063,pediatrics,R0001425
Chen,Thomas,,3812352923,211 Park Avenue,York,TS12 8XX,41772831172,orthopaedics,R0000737
G.,Sharma,,1331492759,86 Church Lane,Middlesbrough,TS12 1XX,2596 362 0786,orthopedics,R0003016
Sarah,Davies,,6422219858,212 Park Avenue,Durham,TS21 5XX,51642484428,general practice,R0003089
Omar,Williams,,9197263712,230 Station Road,Middlesbrough,TS10 5XX,65129214038,general practice,R0000393
Sarah,Thomas,,8470123257,134 Church Lane,York,TS2 3XX,88108158753,gp,R0000676
Mohammed,Patel,,5670035014,208 Station Road,Durham,TS2 8XX,14969070637,orthopedics,R0000856
Amara,Williams, Jr,7178151660,247 Victoria Road,Leeds,TS14 3XX,9793 552 9894,paediatrics,R0002492
Wei,Ahmed,,4285562586,88 Victoria Road,Middlesbrough,TS21 6XX,89149815375,orthopedics,R0002906
