cluster,first_name,last_name,name_suffix,npi,address,city,postcode,phone,specialty,record_id,members
94,Rajesh,Khan,,0216124518,70 High Street,Middlesbrough,TS5 1XX,17605204890,family medicine,R0006615,1
95,Amara,Brown,,6640050687,231 Park Avenue,Leeds,TS20 2XX,90540175116,family medicine,R0002312,1
96,David,Khan,,7855320450,157 Station Road,York,TS7 5XX,49103896679,cardiovascular medicine,R0003901,1
104,James,Williams,,0216140943,42 Station Road,Middlesbrough,TS8 7XX,38136038491,ortho surgery,R0004215,1
112,Sarah,Thomas,,7553458457,287 Victoria Road,Newcastle,TS11 7XX,40023411092,paediatrics,R0002865,1
114,Lucy,Brown,,1569198722,160 Church Lane,Middlesbrough,TS20 7XX,46796219784,general practice,R0002094,1
116,Fatima,Ahmed,,4489269074,182 Victoria Road,York,TS25 2XX,19551283532,general practice,R0000169,1
121,Elena,Williams, Jr,1317759283,263 Church Ln,Newcastle,TS15 2XX,48882743391,pediatrics,R0003350,1
124,Amara,Brown,,4614458014,191 High Street,York,TS19 8XX,21179349205,paediatrics,R0007045,1
127,C.,Khan,,9001183966,37 Church Lane,Middlesbrough,TS26 4XX,35283427698,paediatrics,R0006306,1
129,Lucy,Jones,,4018036212,210 Victoria Road,Leeds,TS4 7XX,46830339563,gp,R0006969,1
130,Amara,Smith,,2079075263,137 Victoria Road,Durham,TS8 6XX,96636807275,cardiology,R0006765,1
133,Chen,Shamra,,9238370967,20 High St,Newcastle,TS15 2XX,1062 920 8758,general practice,R0002447,3
134,L.,Brown, Jr,0476762559,180 Park Avenue,Durham,TS9 4XX,(2615) 5697224,gp,R0005983,1
136,Mohammed,Ali,,4886966230,259 Park Avenue,Durham,TS21 6XX,29461549793,family medicine,R0002796,1
137,Lucy,Brown,,6379738098,171 Park Avenue,Durham,TS8 4XX,13537853357,cardiology,R0001514,1
139,Aisha,Brown,,8839710171,66 Station Road,York,TS4 3XX,69475459050,cardiovascular medicine,R0000742,1
142,Rajesh,Williams,,7618259696,100 Victoria Road,York,TS5 2XX,51440803800,gp,R0003560,1
143,Mohammed,Sharma,,6896716596,47 Park Avenue,Newcastle,TS4 5XX,83799239326,family medicine,R0004715,1
144,James,Williams,,0972448157,221 Victoria Road,Leeds,TS11 6XX,59234511404,pediatrics,R0005046,1
146,Rajesh,Davies,,6858561909,24 Church Lane,Leeds,TS13 1XX,40411713655,orthopaedics,R0002926,1
153,Lucy,Taylor,,7112166525,111 High Street,York,TS5 1XX,11456410792,general practice,R0000465,1
154,Sarah,Wilson,,8767188048,3 Church Lane,Newcastle,TS28 4XX,03245413602,cardiovascular medicine,R0000095,1
158,Amara,Jones,,5546408796,228 Victoria Road,Durham,TS29 2XX,24253336108,orthopaedics,R0006334,1
162,David,Williams,,0590363110,3 Victoria Road,York,TS28 6XX,39218545929,ortho surgery,R0001263,1
163,Lucy,Thomas,,5364341914,267 Church Lane,Newcastle,TS15 7XX,57379643511,orthopaedics,R0006693,1
179,Priya,Taylor,,8962361578,25 High Street,Leeds,TS8 5XX,19934408735,family medicine,R0000970,1
180,Rajesh,Taylor,,4600432321,219 victoria rd,Middlesbrough,TS1 7XX,(8291) 9949574,general practice,R0005440,1
188,Fatima,Wilson,,7621931088,29 Victoria Road,Newcastle,TS5 1XX,55086659755,gp,R0003123,1
189,Elena,Davies,,9733493286,5 Church Lane,Newcastle,TS12 6XX,33787732578,cardiology,R0006326,1
190,Rajesh,Ahmed,,5114020680,289 Victoria Road,York,TS5 3XX,33395133981,gp,R0005212,1
191,Mohammed,Jones,,2274415974,170 Station Road,Leeds,TS1 1XX,78969422270,gp,R0000733,1
192,Aisha,Davies,,5652003782,246 Station Road,Middlesbrough,TS27 2XX,50887149818,pediatrics,R0005096,1
195,David,Wilson,,6815823476,268 High Street,Leeds,TS24 6XX,54984383491,ortho surgery,R0003135,1
202,John,Sharma,,8853088457,118 Park Avenue,Middlesbrough,TS20 8XX,7452 623 2330,cardiology,R0000318,3
205,Amara,Roberts,,0453633268,46 High Street,York,TS7 2XX,97966768314,pediatrics,R0001561,1
206,Jmaes,Davies,,,124 High St,Leeds,TS23 8XX,27811177116,orthopaedics,R0001768,1
213,Priya,Patel,,5009541752,144 Park Avenue,Leeds,TS15 5XX,28721345406,pediatrics,R0001934,1
214,Grace,Thomas,,5151677571,235 High Street,York,TS22 5XX,7605 565 4666,paediatrics,R0006859,1
215,David,Roberts,,2764583895,180 Church Lane,Middlesbrough,TS12 5XX,33033809676,orthopedics,R0006212,1
218,Elena,Thomas,,8165326833,215 Victoria Road,Durham,TS22 5XX,11030409401,general practice,R0003977,1
219,David,Jones,,5506085449,164 Park Avenue,Newcastle,TS24 7XX,85312647542,paediatrics,R0005653,1
227,Aisha,Ahmed,,9740927180,89 High Street,Leeds,TS23 8XX,25782170845,pediatrics,R0003937,1
235,Grace,Davies,,6007346431,117 Victoria Road,Leeds,TS24 2XX,30043121733,pediatrics,R0007185,1
239,Fatima,Taylor,,6273510519,148 Victoria Road,Leeds,TS9 5XX,28141814841,pediatrics,R0001103,1
241,Grace,Patel,,9260198218,97 Victoria Road,Middlesbrough,TS20 3XX,74135709689,orthopedics,R0000230,1
243,Mohammed,Sharma,,9527840431,113 Park Avenue,Durham,TS12 4XX,71945540787,cardiovascular medicine,R0004147,2
244,Priya,Taylor,,9246611759,196 Victoria Road,Middlesbrough,TS11 7XX,21153990907,ortho surgery,R0002850,1
247,John,Jonse, MD,3872460713,174 Station Rd,Middlesbrough,TS17 4XX,2437 594 6474,cardiovascular medicine,R0005481,1
249,J.,Thomas,,3136129411,178 Park Ave,Leeds,TS6 4XX,38725931269,cardiology,R0001009,1
254,Omar,Sharma,,3735621823,111 Church Lane,Middlesbrough,TS2 4XX,95568805529,general practice,R0001075,1
261,Mohammed,Patel,,5670035014,208 Station Road,Durham,TS2 8XX,14969070637,orthopedics,R0000856,1
270,Amara,Williams,,9522305057,36 Park Avenue,Middlesbrough,TS22 4XX,74440468532,cardiovascular medicine,R0004625,2
275,Wei,Evans,,3253659631,96 High Street,Durham,TS1 4XX,03809986109,cardiology,R0003012,1
278,Grace,Sharma,,9486940211,76 Victoria Road,Durham,TS11 1XX,82526038005,general practice,R0007314,1
279,C.,Roberts, Dr,7621207246,124 Station Rd,Newcastle,TS27 5XX,2575 473 1877,ortho surgery,R0003262,1
281,Wei,Roberts,,9961617016,188 Station Road,Middlesbrough,TS4 3XX,47549749734,pediatrics,R0005106,1
286,Priya,Jones,,6765483989,174 Park Avenue,Leeds,TS19 4XX,99077690901,paediatrics,R0004906,1
288,Cehn,Wilson, Jr,,36 Station Road,Durham,TS17 1XX,1370 213 2609,pediatrics,R0001765,1
291,R.,Ali, Jr,0364373152,253 church ln,Newcastle,TS8 5XX,0577 639 5721,paediatrics,R0006663,1
296,John,Nguyen,,9507887305,255 Park Avenue,Middlesbrough,TS21 2XX,15935150983,cardiovascular medicine,R0007315,2
297,David,Taylor,,4733512686,27 Victoria Road,Middlesbrough,TS3 7XX,08406968295,gp,R0005674,1
298,Mohammed,Patel,,5501063019,135 Station Road,Durham,TS14 2XX,30734182587,cardiovascular medicine,R0000332,1
299,Mohammed,Nguyen,,4469832322,177 Church Lane,Middlesbrough,TS16 7XX,40335237192,ortho surgery,R0001755,1
303,Chen,Wilson,,4796650110,247 Church Lane,Leeds,TS1 5XX,62833983952,cardiology,R0005416,1
307,A.,Wilson, Jr,1482941149,150 Station Rd,Durham,TS24 7XX,(1572) 9810586,cardiovascular medicine,R0002603,1
310,Fatima,Taylor,,1735914143,93 Victoria Road,Leeds,TS18 2XX,48629849139,ortho surgery,R0001918,1
315,Wei,Taylor,,6980241501,172 High Street,Leeds,TS23 2XX,92037108537,ortho surgery,R0000185,1
317,Grace,Ngyuen,,0189290736,213 Victoria Rd,York,TS7 8XX,25189344960,pediatrics,R0004092,2
319,Amara,Nguyen, Jr,9942088508,158 High Street,Middlesbrough,TS7 7XX,4571 404 2922,paediatrics,R0000586,1
322,Priya,Davies,,6242083500,267 Park Avenue,York,TS20 8XX,80221449805,pediatrics,R0004507,1
325,Omar,Ahmed,,2889060007,233 Park Avenue,Newcastle,TS19 5XX,17936557289,cardiology,R0002614,1
331,Mohammed,Smith,,8298134899,24 Church Lane,York,TS5 4XX,18352877839,family medicine,R0005608,1
333,Lucy,Nguyen,,2433336413,21 Victoria Road,Newcastle,TS2 5XX,91023923239,pediatrics,R0001921,1
336,John,Williams,,2396480354,46 Park Avenue,Durham,TS14 8XX,94961102306,cardiology,R0001465,1
338,David,Ali,,8013612845,277 Church Lane,Newcastle,TS4 5XX,00494790688,ortho surgery,R0003126,1
339,James,Patel,,3212683780,279 Victoria Road,Middlesbrough,TS20 7XX,84604911754,orthopedics,R0001046,2
342,Chen,Ahmed,,6042817846,234 Church Lane,Durham,TS20 3XX,69332983974,paediatrics,R0002111,2
343,Grace,Sharma, MD,,255 Park Avenue,Durham,TS23 6XX,(9612) 6782349,orthopedics,R0006250,1
347,Fatima,Ali, MD,1241621299,30 Park Ave,Newcastle,TS7 4XX,0959 126 6798,gp,R0000233,1
352,Elena,Wilson,,9736925764,193 Church Lane,York,TS15 3XX,87615212175,cardiovascular medicine,R0003217,1
354,Fatima,Evans,,6836869847,209 Church Lane,Newcastle,TS3 8XX,82156365340,cardiovascular medicine,R0004925,1
357,Fatima,Roberts,,9420838376,181 Park Avenue,Durham,TS9 1XX,04866244163,family medicine,R0001188,1
359,Priya,Sharma,,1699910171,42 Park Avenue,York,TS23 1XX,40075703155,paediatrics,R0003749,1
362,Aisha,Khan,,0377369086,32 Victoria Road,Middlesbrough,TS8 4XX,76324198746,pediatrics,R0003992,1
365,Grace,Ali,,2399395905,238 Victoria Road,Newcastle,TS17 1XX,91385201771,gp,R0003757,1
368,Omar,Ahmed,,7448372411,193 Station Road,Middlesbrough,TS19 2XX,69916966847,gp,R0006537,1
370,Priya,Williams,,0667136880,178 Church Lane,Middlesbrough,TS24 1XX,81084462642,cardiology,R0000381,1
371,Grace,Nguyen,,8758917038,151 Park Avenue,Durham,TS20 2XX,71305880923,pediatrics,R0003617,1
372,James,Ahmed,,4937313828,121 Park Avenue,Durham,TS22 5XX,60671553002,general practice,R0001372,1
390,Priya,Jones,,4285601589,62 Station Road,Newcastle,TS16 6XX,59156560666,paediatrics,R0006160,1
391,Priya,Davies,,4671032296,230 Station Road,Durham,TS5 2XX,04655165920,orthopaedics,R0002521,1
395,Aisha,Khan,,9908535484,48 High Street,Leeds,TS16 4XX,59389859428,paediatrics,R0002929,1
398,Fatima,Ahmed,,9227841814,271 Church Lane,Leeds,TS28 4XX,61831556733,cardiology,R0005540,1
404,Wei,Smith,,6564381713,70 High Street,Middlesbrough,TS2 3XX,93668902779,paediatrics,R0004149,1
406,Elena,Kahn,,0744225257,26 High Street,Middlesbrough,TS19 3XX,57213448083,paediatrics,R0006167,1
408,Priya,Roberts,,2354283569,119 Church Lane,York,TS27 4XX,20313551440,pediatrics,R0001720,1
412,J.,Thomas, Jr,7215421801,262 High St,Leeds,TS21 5XX,73147506479,family medicine,R0004372,1
414,Elena,Brown,,0289942907,232 Station Road,Leeds,TS27 8XX,87448925516,orthopedics,R0007329,1
415,John,Taylor,,6028689323,125 Church Lane,Leeds,TS12 2XX,39474461311,gp,R0002221,1
420,Wei,Evans,,1802157456,259 Church Lane,Durham,TS9 2XX,11000162508,family medicine,R0001858,2
428,Amara,Smith,,7398199726,259 Victoria Road,Newcastle,TS13 6XX,32642635388,family medicine,R0001197,1
429,A.,Brown,,8839710171,180 Victoria Road,Middlesbrough,TS11 1XX,63618448505,cardiology,R0000743,1
430,Chen,Davies,,8392590746,170 Victoria Road,Leeds,TS29 8XX,55723303908,cardiology,R0005846,1
436,Rajesh,Roberts,,0461568286,86 Church Lane,York,TS29 6XX,49626967680,paediatrics,R0003328,1
445,Wei,Jones,,6540637120,6 Station Road,Newcastle,TS15 4XX,22697740785,cardiology,R0000509,1
446,David,Nguyen,,2636029796,69 High Street,York,TS26 6XX,58191984403,general practice,R0002260,1
459,John,Ali,,4931681864,224 High Street,Leeds,TS15 3XX,73643844264,general practice,R0007231,1
463,Chen,Smiht,,4602670694,126 Victoria Rd,Durham,TS25 6XX,48541379556,pediatrics,R0005683,1
465,E.,Smith,,4769355007,213 Victoria Road,Durham,TS4 6XX,07340247525,cardiovascular medicine,R0001876,1
470,Mohammed,Thomas, MD,3459053083,247 park avenue,Durham,TS26 8XX,91059923691,cardiology,R0001295,1
481,Elena,Patel,,9085950004,211 Park Avenue,Durham,TS24 5XX,11198022709,general practice,R0004151,1
483,David,Williasm, Jr,5260241244,166 Station Rd,Newcastle,TS15 3XX,5304 345 2452,gp,R0003933,2
489,Aisha,Daives, Dr,3807370916,72 Victoria Road,Newcastle,TS1 7XX,94859865029,pediatrics,R0003706,1
491,Lucy,Brown,,2555083156,10 High Street,Newcastle,TS18 8XX,60295105521,orthopaedics,R0001623,1
494,Elena,Khan,,7137823149,82 Station Road,Leeds,TS12 8XX,56775551480,paediatrics,R0000877,1
498,Omar,Taylor,,0161252166,100 Park Avenue,Newcastle,TS4 4XX,29506027575,paediatrics,R0000245,1
503,Lucy,Khan,,2538884158,284 Park Avenue,Leeds,TS11 5XX,46320769360,cardiovascular medicine,R0006926,1
504,John,Roberts,,6262263351,167 High Street,York,TS5 6XX,69170617002,orthopaedics,R0003717,1
506,Amara,Ali,,0844668822,221 Victoria Road,Newcastle,TS29 8XX,69784909979,cardiology,R0003098,1
508,Elena,Evans,,1627707125,287 Church Lane,Durham,TS10 8XX,65724413869,orthopaedics,R0006612,1
512,Aisha,Ahmed,,8473512538,108 Church Lane,Durham,TS5 5XX,03056692795,general practice,R0006485,1
513,Aisha,Williams, MD,1822875824,109 High Street,Newcastle,TS10 7XX,77233770733,cardiology,R0003534,1
535,Elena,Wliliams,,9933205281,200 Church Ln,York,TS3 4XX,7331 296 1414,general practice,R0000435,1
541,David,Evans,,5900106672,17 Park Avenue,Middlesbrough,TS29 3XX,01574311871,general practice,R0004427,1
542,Mohammed,Nguyen,,0752426957,225 Park Avenue,Newcastle,TS17 4XX,17897373808,gp,R0003107,1
544,Lucy,Jones,,6314491383,4 High Street,Leeds,TS14 2XX,14073740970,pediatrics,R0005663,1
547,Omar,Ali,,0727580563,172 Station Road,Leeds,TS22 2XX,92490383201,pediatrics,R0002892,1
552,John,Roberts,,5149733909,227 Park Avenue,Newcastle,TS10 6XX,30492199899,paediatrics,R0001643,1
554,Elena,Sharma,,9053034417,190 Station Road,York,TS16 5XX,53450742034,ortho surgery,R0001832,1
555,Omar,Ahmed, Dr,7196985265,56 Park Ave,York,TS18 6XX,31344823158,family medicine,R0001483,1
559,Omar,Evans,,4564493914,177 Victoria Road,Leeds,TS4 6XX,54932346732,family medicine,R0006699,1
561,Grace,Williams,,9798653104,217 Church Lane,York,TS14 3XX,47926844559,pediatrics,R0004750,1
564,James,Sharma,,9404280740,82 Park Avenue,York,TS23 5XX,74014374813,cardiovascular medicine,R0000354,1
566,Grace,Ahmed,,9840045017,297 Park Avenue,Middlesbrough,TS15 1XX,78856964758,family medicine,R0000176,1
576,Chen,Ali,,0523431010,103 Church Lane,Middlesbrough,TS6 4XX,52498278583,pediatrics,R0006539,1
581,Elena,Roberts,,4726526460,281 High Street,Durham,TS29 1XX,02026764159,cardiology,R0002812,1
583,Rajesh,Ali,,1428492056,29 Victoria Road,Newcastle,TS26 6XX,34143025394,cardiovascular medicine,R0000106,1
587,Lucy,Wilson,,3440216415,90 Church Lane,Durham,TS29 8XX,40010697737,paediatrics,R0004367,2
588,Amara,Davies,,1241154303,228 Church Lane,Newcastle,TS11 5XX,01643354828,ortho surgery,R0004034,2
592,Fatima,Jones,,1332450007,132 Victoria Road,Middlesbrough,TS28 3XX,81837058148,cardiovascular medicine,R0004010,1
594,James,Ahmed, MD,4937313828,26 Park Ave,Durham,TS28 7XX,(7370) 1113087,family medicine,R0001373,1
595,Sarah,Brown,,2085986044,207 Park Avenue,York,TS23 1XX,19488171127,pediatrics,R0002131,1
598,Mohammed,Sharma,,5415170897,236 Park Avenue,York,TS16 5XX,81552440413,pediatrics,R0002647,1
601,Chen,Ahmed,,5473900580,79 Park Avenue,Leeds,TS1 3XX,66890809790,general practice,R0002226,1
603,Omar,Thomas,,3094099470,214 High Street,Leeds,TS20 2XX,06777865830,paediatrics,R0000167,1
604,Wei,Davies,,4001793294,276 Station Road,York,TS11 3XX,97158414428,cardiology,R0004301,1
605,Grace,Roberts,,8386661911,297 Victoria Road,Leeds,TS2 6XX,30181267512,cardiovascular medicine,R0005664,1
608,Elena,Thomas,,2607223415,227 High Street,York,TS11 5XX,19083858576,gp,R0003001,1
611,Chen,Sharma, MD,0344397399,264 Station Road,Newcastle,TS27 3XX,(3586) 6279850,cardiovascular medicine,R0007211,2
612,Sarah,Evans,,8225809517,282 Church Lane,Leeds,TS10 6XX,47899962034,general practice,R0005275,1
613,Fatima,Ahmed,,5567846387,185 High Street,Durham,TS4 5XX,86058683486,gp,R0005755,2
614,Lucy,Jones,,8091235595,139 Victoria Road,York,TS4 3XX,83504281053,orthopaedics,R0006964,1
615,Grace,Sharma,,9514882301,186 Park Avenue,York,TS25 1XX,86060983202,cardiovascular medicine,R0007148,1
617,Chen,Ahmed,,1824068564,115 Victoria Road,Durham,TS7 1XX,57365922617,pediatrics,R0006977,1
623,Amara,Thomas,,6722266921,193 Victoria Road,York,TS11 3XX,87138781504,cardiology,R0003039,1
624,Lucy,Nguyen,,6546225491,91 High Street,Durham,TS27 5XX,60004409650,pediatrics,R0007008,1
626,Sarah,Evans,,8159607064,61 Church Lane,Leeds,TS26 1XX,90355225013,general practice,R0002578,1
627,Priya,Brown,,1870244148,217 Station Road,Middlesbrough,TS12 4XX,21071275014,family medicine,R0002510,1
631,O.,Evans, Jr,8585464689,207 Church Ln,Middlesbrough,TS19 3XX,(2847) 3668154,pediatrics,R0001420,2
632,James,Patel,,6960111729,265 High Street,Middlesbrough,TS24 3XX,75791415935,orthopedics,R0006658,1
633,Elena,Nguyen,,5771912642,14 Station Road,York,TS18 7XX,33096209018,cardiology,R0003303,1
637,Sarah,Evans,,1200461976,2 High Street,York,TS27 2XX,55691002385,paediatrics,R0001870,1
641,Sarah,Evans,,6118686438,114 Victoria Road,York,TS14 4XX,91189252905,cardiovascular medicine,R0004975,1
642,Wei,Ali,,0175313054,72 Victoria Road,Newcastle,TS14 5XX,62609982759,orthopedics,R0002488,1
644,O.,Taylor, MD,4587688286,50 High St,York,TS8 4XX,60956212464,ortho surgery,R0006950,1
646,David,Wilson, Dr,4987611907,188 Church Ln,Durham,TS29 4XX,5032 833 4579,cardiovascular medicine,R0003908,2
649,M.,Roberts, MD,2996949508,4 Victoria Rd,Newcastle,TS13 1XX,(5886) 7061705,cardiovascular medicine,R0001731,2
651,R.,Patel, Dr,9626351511,277 Victoria Road,Middlesbrough,TS11 6XX,2272 331 8685,general practice,R0000786,1
654,Sarah,Nguyen,,5117866898,245 High Street,Newcastle,TS15 7XX,76818327909,orthopaedics,R0002440,2
666,Chen,Ali,,4050529526,38 Victoria Road,Leeds,TS23 8XX,49859193429,general practice,R0007077,1
667,Moahmmed,Thomas, Jr,8515287881,279 High Street,Durham,TS18 7XX,68310405425,cardiology,R0001545,2
668,Fatima,Smith,,6500478429,143 Church Lane,Leeds,TS13 1XX,35977513908,ortho surgery,R0000031,1
670,Wei,Thomas,,7217777430,288 Church Lane,Durham,TS6 3XX,52854297521,ortho surgery,R0004651,2
672,Chen,Khan,,7167110761,257 Church Lane,Durham,TS7 5XX,22334236361,orthopedics,R0000965,1
673,Omar,Thomas,,,83 Park Ave,Durham,TS13 4XX,(2938) 4081288,paediatrics,R0000168,1
674,Sarah,Khan,,4903220154,121 Park Avenue,Newcastle,TS4 3XX,82023252583,family medicine,R0003121,1
678,R.,Khan,,3163815409,178 Park Avenue,Newcastle,TS3 7XX,7618 590 8364,general practice,R0006770,2
680,Rajesh,Patel,,2315018104,234 Victoria Road,Leeds,TS12 7XX,92128384479,ortho surgery,R0004981,1
687,Sarah,Brown,,8153067953,46 Victoria Road,Leeds,TS20 8XX,09242174547,ortho surgery,R0000996,1
689,E.,Nguyen, Dr,8795160481,139 Victoria Road,Durham,TS27 7XX,1362 258 1094,gp,R0003077,1
690,Daivd,Khan,,9124347547,264 Victoria Rd,York,TS19 2XX,(7869) 8318925,family medicine,R0003159,1
697,Aisha,Sharma,,8409115646,263 Victoria Road,York,TS24 5XX,55933761605,orthopedics,R0005185,1
701,Priya,Williams,,8243853901,80 High Street,Middlesbrough,TS5 6XX,70098764335,general practice,R0004464,1
703,Grace,Khan,,0499177286,176 Victoria Road,York,TS7 4XX,30066620819,cardiology,R0006082,2
711,Priya,Williams,,9394426537,37 Park Avenue,Durham,TS13 6XX,39424993831,cardiology,R0003114,1
713,Wei,Williams,,3973773485,198 High Street,Durham,TS18 5XX,79341643644,pediatrics,R0000080,1
715,Elena,Williams,,5290085849,23 Church Lane,Durham,TS29 7XX,27366121052,paediatrics,R0004791,1
716,Elena,Patel,,3721271460,239 Church Lane,Durham,TS18 2XX,59215466079,pediatrics,R0003624,2
719,Sarha,Ali, MD,1885326655,242 Church Ln,York,TS26 6XX,(5289) 3853354,general practice,R0001807,1
727,Lucy,Thomas,,4310322965,96 High Street,Newcastle,TS19 5XX,45874693961,gp,R0000858,1
731,Priya,Sharma,,2644837817,171 High Street,Durham,TS7 3XX,81578235515,cardiology,R0002431,2
733,Raejsh,Sharma,,,255 Victoria Rd,York,TS12 6XX,53559940784,orthopaedics,R0005647,1
736,Fatima,Sharma,,9375322589,15 Station Road,Middlesbrough,TS7 5XX,41152239837,ortho surgery,R0003583,1
739,Wei,Williams,,8444751365,278 Park Avenue,Durham,TS4 3XX,06327210382,family medicine,R0006523,1
740,Omar,Jones,,9449626237,191 Park Avenue,Leeds,TS2 5XX,05489089661,paediatrics,R0007155,1
741,O.,Williams, MD,4576497083,239 Park Avenue,York,TS2 3XX,4808 070 7090,cardiology,R0005402,1
742,James,Paetl, Jr,,10 church lane,York,TS22 3XX,(3659) 2216536,general practice,R0000491,1
745,S.,Patel, Jr,7097433307,270 Station Rd,Middlesbrough,TS16 6XX,73414633486,orthopedics,R0001025,2
746,Mohammed,Wilson,,7815478375,90 Station Road,York,TS2 1XX,49568452296,general practice,R0003698,1
747,Fatima,Williams,,5253037221,72 High Street,Durham,TS1 8XX,91758404073,cardiovascular medicine,R0007237,1
754,Omar,Sharma,,9524373079,124 Station Road,Newcastle,TS2 3XX,03698963908,ortho surgery,R0002470,2
755,Priya,Khan,,2356081929,211 Church Lane,Newcastle,TS22 5XX,94156727522,cardiovascular medicine,R0006828,2
756,Grace,Sharma,,1038371803,50 Victoria Road,Leeds,TS16 5XX,2594 679 2968,pediatrics,R0003258,1
758,James,Khan,,0297842338,175 Church Lane,Newcastle,TS6 8XX,85250159729,pediatrics,R0004619,1
767,James,Davies,,3976652559,218 Church Lane,York,TS10 3XX,09520570263,cardiology,R0007179,1
775,Elena,Davies,,4473370424,293 Church Lane,York,TS29 8XX,16374990107,general practice,R0002275,1
783,Chne,Jones,,9025599663,124 Victoria Road,Durham,TS1 7XX,34482303058,general practice,R0000534,4
784,Lucy,Ali,,4600679347,14 High Street,Newcastle,TS9 1XX,79411256672,cardiology,R0003014,1
788,Rajesh,Taylor,,5367894780,257 Church Lane,Durham,TS14 1XX,64600696982,orthopedics,R0001511,2
791,Fatima,Thomas,,,60 Church Ln,Durham,TS2 4XX,01390289597,general practice,R0006974,1
793,Fatima,Wilson,,3108052870,270 High Street,Middlesbrough,TS21 1XX,24133403549,cardiology,R0003994,1
799,Mohammed,Brown,,3075491962,239 Park Avenue,Durham,TS11 3XX,81069515286,orthopaedics,R0000472,2
803,Aisha,Sharma,,4122915503,52 High Street,Middlesbrough,TS20 5XX,42698162847,family medicine,R0002029,1
805,Amara,Wilson,,2294901474,266 Victoria Road,Middlesbrough,TS25 4XX,26790735473,pediatrics,R0001566,1
807,C.,Ahmed, Jr,6165271795,88 High St,Middlesbrough,TS22 7XX,3354 158 7868,general practice,R0000469,1
809,Omar,Evans,,8401082262,116 Victoria Road,Newcastle,TS14 6XX,34434160992,orthopedics,R0003106,1
817,Amara,Thomas,,0614243960,288 Church Lane,Durham,TS15 5XX,59659277392,cardiovascular medicine,R0002586,1
820,David,Williams,,8490967202,141 Church Lane,Leeds,TS6 1XX,66179914008,ortho surgery,R0002095,1
824,Priya,Brown,,0160689926,27 High Street,Leeds,TS23 2XX,34379557449,pediatrics,R0002807,1
829,P.,Evans, Jr,,291 Victoria Road,Newcastle,TS1 2XX,2210 691 2596,gp,R0000017,1
