loan_id,customer_id,loan_type,loan_amount,loan_term_months,interest_rate,loan_start_date,collateral_type,collateral_value,monthly_loan_payment,loan_purpose,credit_score,debt_to_income_ratio,loan_to_value_ratio,missed_payments_12m,days_past_due,repayment_status,default_flag,risk_band,expected_loss_amount,customer_name,age,gender,nationality,occupation,employment_status,city,state,customer_segment,loyalty_classification,fee_structure,investment_advisor,joined_bank,annual_income,monthly_income,bank_deposits,checking_balance,savings_balance,credit_card_limit,credit_card_balance,credit_utilization_ratio,business_lending,existing_monthly_debt_payment,total_deposit_balance,deposit_to_income_ratio,age_group,income_band,customer_tenure_years,credit_utilization_band,credit_score_band,dti_band,ltv_band,has_recent_delinquency,loan_to_income_ratio,exposure_after_deposits
LOAN000024,CUST10123,Home Loan,1438378.27,233,9.22,2018-11-03,Property,2057745.17,13284.22,Home Purchase,653.0,0.711,0.699,0,0,Current,0,Medium,48527.89,Aarav Coleman,40,Female,Indian,Business Owner,Salaried,Lucknow,Maharashtra,Retail,Platinum,Standard,Advisor A,2007-11-25,289862.84,24155.24,673301.11,125783.67,427745.04,36624.74,10907.3,0.298,176373.99,5938.64,1226829.82,4.232,36-45,Low,18.7,Low,Fair,>60%,60-80%,False,4.96,211548.44999999995
LOAN000025,CUST07116,Education Loan,471793.6,82,10.82,2025-09-10,Unsecured,0.0,8165.09,Higher Education,626.0,0.288,,1,17,Current,0,Medium,17783.41,Aadhya Sharma,65,Male,American,Retired,Salaried,Chennai,Tamil Nadu,Priority,Jade,Standard,Advisor D,2005-10-08,906939.74,75578.31,927396.3,162102.57,340513.47,305520.04,54127.25,0.177,960242.8,9054.8,1430012.34,1.577,56-65,Middle,20.8,Low,Fair,<=35%,,True,0.52,0.0
LOAN000026,CUST13607,Education Loan,213764.73,64,9.3,2022-09-03,Unsecured,0.0,4249.27,Higher Education,671.0,0.212,,0,0,Current,0,Low,2703.77,Vivaan Patel,27,Female,Indian,Doctor,Self Employed,Mumbai,Karnataka,Retail,Silver,Standard,Advisor E,2012-04-17,684494.02,57041.17,725900.25,54167.07,198266.71,104834.37,17994.62,0.172,49552.35,4197.01,978334.03,1.429,26-35,Lower Middle,14.3,Low,Good,<=35%,,False,0.31,0.0
LOAN000027,CUST12356,Auto Loan,531115.08,60,9.89,2022-11-10,Vehicle,716095.96,11255.9,Vehicle Purchase,748.0,0.449,0.742,0,0,Current,0,Low,8859.28,Meera Verma,22,Male,Indian,Lawyer,Business Owner,Lucknow,Karnataka,Retail,Silver,Standard,Advisor E,2009-07-21,880009.03,73334.09,1706278.87,297235.59,676950.49,264773.42,49724.58,0.188,105919.9,21684.71,2680464.95,3.046,18-25,Middle,17.0,Low,Very Good,35-45%,60-80%,False,0.6,0.0
LOAN000028,CUST01650,Home Loan,4598013.53,238,10.3,2020-04-11,Property,6194913.26,45405.09,Home Purchase,665.0,0.661,0.742,0,0,Current,0,Medium,139997.55,Aanya Rao,18,Female,Indian,Operations Manager,Self Employed,Lucknow,Tamil Nadu,Priority,Platinum,Standard,Advisor C,2016-08-30,1709940.55,142495.05,4506630.35,579383.71,2059742.96,439898.08,121561.91,0.276,1282467.34,30159.27,7145757.02,4.179,18-25,High,9.9,Low,Fair,>60%,60-80%,False,2.69,0.0
LOAN000029,CUST05826,Personal Loan,174835.99,36,15.1,2019-03-09,Unsecured,0.0,6069.31,Personal Expense,707.0,0.304,,0,0,Current,0,Low,2898.09,Aditya Roy,40,Male,Indian,Marketing Manager,Salaried,Mumbai,Rajasthan,Retail,Jade,Standard,Advisor F,2022-09-14,332665.62,27722.14,258560.92,22854.63,80538.56,31748.96,14649.21,0.461,78555.37,2903.64,361954.11,1.088,36-45,Low,3.9,Moderate,Good,<=35%,,False,0.53,0.0
LOAN000030,CUST05207,Auto Loan,3649923.5,60,9.68,2021-03-15,Vehicle,5308816.2,76976.65,Vehicle Purchase,728.0,0.504,0.688,0,0,Current,0,Low,68055.25,Karan Mehta,39,Male,Indian,Business Owner,Self Employed,Delhi,West Bengal,Retail,Platinum,Standard,Advisor D,2009-01-11,2937462.75,244788.56,4186769.23,611371.37,2606009.1,505029.42,26215.09,0.052,164049.3,67388.57,7404149.7,2.521,36-45,High,17.5,Low,Good,45-60%,60-80%,False,1.24,0.0
LOAN000031,CUST08353,Personal Loan,111022.0,25,13.8,2022-08-10,Unsecured,0.0,5135.12,Personal Expense,766.0,0.091,,0,0,Current,0,Low,982.03,Aanya Patel,44,Female,Indian,Retired,Salaried,Delhi,Tamil Nadu,Priority,Jade,Premium,Advisor A,2005-06-21,531295.99,44274.67,751977.99,56537.89,362566.8,92948.4,10195.68,0.11,878690.03,2171.31,1171082.68,2.204,36-45,Lower Middle,21.1,Low,Very Good,<=35%,,False,0.21,0.0
LOAN000032,CUST14150,Business Loan,1375244.87,72,12.75,2018-01-16,Business Asset,1837896.88,27425.68,Business Expansion,727.0,0.61,0.748,0,0,Current,0,Low,72159.56,Pooja Cunningham,53,Male,Indian,Sales Manager,Contract,Chennai,Telangana,Priority,Silver,Standard,Advisor F,2007-03-17,727386.64,60615.55,1674158.31,319128.22,440984.05,59108.36,19628.96,0.332,852873.07,12002.14,2434270.58,3.347,46-55,Lower Middle,19.4,Moderate,Good,>60%,60-80%,False,1.89,0.0
LOAN000033,CUST13210,Home Loan,4493347.97,245,8.11,2024-11-23,Property,8137036.47,37583.94,Home Purchase,654.0,0.569,0.552,0,0,Current,0,Medium,89843.06,Arjun Singh,52,Male,Indian,Marketing Manager,Salaried,Bengaluru,Gujarat,Priority,Gold,Standard,Advisor A,2017-11-10,1484468.28,123705.69,4158924.81,827355.36,2230499.23,452795.62,162176.11,0.358,39775.08,32797.28,7216779.4,4.862,46-55,Middle,8.7,Moderate,Fair,45-60%,<=60%,False,3.03,0.0
LOAN000034,CUST07436,Auto Loan,573085.7,60,9.06,2022-06-21,Vehicle,786259.41,11913.01,Vehicle Purchase,752.0,0.177,0.729,0,0,Current,0,Low,4274.24,Karan Roy,18,Male,Indian,Doctor,Salaried,Pune,Gujarat,Retail,Jade,Premium,Advisor E,2008-08-02,1011368.72,84280.73,1778874.1,171698.27,1011064.29,189941.74,34400.51,0.181,165119.52,6617.3,2961636.66,2.928,18-25,Middle,18.0,Low,Very Good,<=35%,60-80%,False,0.57,0.0
LOAN000035,CUST04884,Personal Loan,105661.07,31,13.99,2023-01-05,Unsecured,0.0,4080.97,Personal Expense,703.0,0.373,,1,19,Current,0,Low,2142.9,Pranav Rao,53,Male,Indian,Consultant,Salaried,Bengaluru,Karnataka,Retail,Silver,Standard,Advisor F,2020-02-25,414625.21,34552.1,507213.98,58407.76,184277.14,50370.65,4550.58,0.09,310997.11,10163.36,749898.88,1.809,46-55,Lower Middle,6.4,Low,Good,35-45%,,True,0.25,0.0
LOAN000036,CUST14298,Auto Loan,376639.05,71,10.8,2021-06-05,Vehicle,643181.13,7201.98,Vehicle Purchase,659.0,0.498,0.586,8,180,Defaulted,1,High,6321.97,Maya Roy,47,Female,Indian,Business Owner,Retired,Mumbai,Rajasthan,Retail,Jade,Standard,Advisor A,2016-05-01,881850.83,73487.57,1414907.29,182609.48,883234.35,293587.45,26094.13,0.089,190789.63,20856.38,2480751.12,2.813,46-55,Middle,10.2,Low,Fair,45-60%,<=60%,True,0.43,0.0
LOAN000037,CUST11777,Home Loan,7395504.66,242,9.54,2025-04-21,Property,11625344.72,68938.69,Home Purchase,650.0,0.621,0.636,0,0,Current,0,Medium,184115.04,Karan Coleman,58,Female,Indian,Marketing Manager,Salaried,Chennai,West Bengal,Retail,Silver,Discounted,Advisor A,2004-02-27,1869538.09,155794.84,3646718.96,449855.93,2255639.41,450029.26,8159.97,0.018,720181.88,14970.66,6352214.3,3.398,56-65,High,22.4,Low,Fair,>60%,60-80%,False,3.96,1043290.3600000003
LOAN000038,CUST08158,Personal Loan,182014.03,35,15.13,2021-04-25,Unsecured,0.0,6464.16,Personal Expense,697.0,0.403,,0,0,Current,0,Low,4028.36,Meera Nair,48,Male,Asian,Operations Manager,Salaried,Lucknow,Maharashtra,Retail,Silver,Premium,Advisor D,2009-07-02,672882.32,56073.53,900699.26,179184.96,349127.14,168079.9,16975.07,0.101,103013.46,15534.14,1429011.36,2.124,46-55,Lower Middle,17.1,Low,Good,35-45%,,False,0.27,0.0
LOAN000039,CUST10249,Personal Loan,245248.74,48,14.58,2024-06-01,Unsecured,0.0,6773.36,Personal Expense,703.0,0.365,,0,0,Current,0,Low,4859.16,Kiara Coleman,43,Male,Indian,Architect,Salaried,Mumbai,Tamil Nadu,Retail,Jade,Discounted,Advisor B,2004-07-26,840377.74,70031.48,1678209.9,201347.57,896192.68,303721.31,26533.54,0.087,271708.63,11658.22,2775750.15,3.303,36-45,Middle,22.0,Low,Good,35-45%,,False,0.29,0.0
LOAN000040,CUST05984,Home Loan,1179342.25,246,8.95,2018-06-21,Property,2351834.51,10480.63,Home Purchase,644.0,0.562,0.501,3,63,Late,0,Medium,51093.33,Riya Roy,23,Female,Asian,Marketing Manager,Unknown,Bengaluru,Tamil Nadu,Retail,Silver,Discounted,Advisor D,2022-12-19,303194.42,25266.2,418792.3,50034.91,266422.15,65832.17,6391.65,0.097,64950.45,2627.38,735249.36,2.425,18-25,Low,3.6,Low,Fair,45-60%,<=60%,True,3.89,444092.89
LOAN000041,CUST01655,Business Loan,1663129.02,87,10.05,2019-01-09,Business Asset,2044160.01,26995.63,Business Expansion,636.0,0.86,0.814,4,180,Defaulted,1,High,307931.94,Maya Roy,55,Female,Indian,Accountant,Salaried,Mumbai,West Bengal,Priority,Jade,Standard,Advisor C,2002-10-22,630749.23,52562.44,1231386.46,93494.22,771906.56,157459.88,54325.31,0.345,30412.95,12847.41,2096787.24,3.324,46-55,Lower Middle,23.8,Moderate,Fair,>60%,80-95%,True,2.64,0.0
LOAN000042,CUST14231,Home Loan,1635713.88,240,10.36,2020-07-17,Property,2706916.41,16177.1,Home Purchase,726.0,0.45,0.604,0,0,Current,0,Low,24292.75,Maya Bose,59,Female,Indian,Consultant,Salaried,Mumbai,Rajasthan,Priority,Silver,Standard,Advisor A,2017-04-04,756760.47,63063.37,1894213.39,375364.2,948546.99,226264.31,17844.63,0.079,15089.94,17104.69,3218124.58,4.253,56-65,Lower Middle,9.3,Low,Good,35-45%,60-80%,False,2.16,0.0
LOAN000043,CUST01856,Home Loan,6226560.74,250,9.21,2021-06-23,Property,9672900.23,56081.62,Home Purchase,626.0,0.591,0.644,5,138,Written Off,1,High,326394.45,Ishaan Das,44,Male,Indian,Teacher,Salaried,Lucknow,Maharashtra,Priority,Silver,Standard,Advisor C,2015-12-03,1740479.78,145039.98,1968925.23,181880.55,1200057.15,522270.33,185981.51,0.356,59590.89,30475.94,3350862.93,1.925,36-45,High,10.6,Moderate,Fair,45-60%,60-80%,True,3.58,2875697.81
LOAN000044,CUST10320,Personal Loan,156344.44,39,11.2,2018-01-17,Unsecured,0.0,4801.08,Personal Expense,665.0,0.77,,2,30,Paid Off,0,Medium,9800.82,Aditya Bose,61,Male,Indian,Retired,Business Owner,Hyderabad,Uttar Pradesh,Retail,Jade,Standard,Advisor F,2003-02-03,693534.97,57794.58,671331.28,27744.93,283503.07,129535.09,9876.38,0.076,53336.56,35473.86,982579.28,1.417,56-65,Lower Middle,23.5,Low,Fair,>60%,,True,0.23,0.0
LOAN000045,CUST06023,Business Loan,1105971.64,75,10.2,2018-01-03,Business Asset,1773180.16,20003.25,Business Expansion,745.0,0.435,0.624,0,0,Current,0,Low,32607.59,Vikram Cunningham,48,Male,Indian,Architect,Salaried,Delhi,Gujarat,Retail,Jade,Standard,Advisor B,2016-08-14,704315.49,58692.96,589904.6,102666.0,289451.21,208540.47,27624.53,0.132,142910.03,3864.6,982021.81,1.394,46-55,Lower Middle,9.9,Low,Very Good,35-45%,60-80%,False,1.57,123949.82999999984
LOAN000046,CUST12645,Personal Loan,1180340.02,33,14.67,2021-10-20,Unsecured,0.0,43681.77,Personal Expense,641.0,0.587,,1,9,Current,0,Medium,101393.25,Maya Coleman,60,Female,Indian,Lawyer,Self Employed,Bengaluru,Gujarat,Retail,Gold,Premium,Advisor A,2011-04-25,2351485.84,195957.15,3127104.3,337186.57,1903356.56,212138.65,69499.84,0.328,87227.98,75463.77,5367647.43,2.283,56-65,High,15.2,Moderate,Fair,45-60%,,True,0.5,0.0
LOAN000047,CUST02186,Home Loan,3542940.63,251,6.5,2023-09-15,Property,4313980.66,25853.73,Home Purchase,646.0,0.873,0.821,4,52,Current,0,High,417431.47,Riya Sharma,46,Female,Indian,Lawyer,Self Employed,Kolkata,Gujarat,Retail,Silver,Standard,Advisor D,2009-12-29,1108906.67,92408.89,1192936.28,136320.5,755521.04,129326.58,26595.08,0.206,483479.72,54314.92,2084777.82,1.88,46-55,Middle,16.6,Low,Fair,>60%,80-95%,True,3.19,1458162.8099999998
LOAN000048,CUST02888,Personal Loan,256725.06,33,15.14,2018-06-07,Unsecured,0.0,9559.39,Personal Expense,707.0,0.53,,0,0,Current,0,Low,8199.93,Ira Mehta,44,Male,Indian,Consultant,Business Owner,Pune,Gujarat,Priority,Gold,Standard,Advisor F,2019-02-15,1030094.24,85841.19,2311768.38,362310.86,1385467.3,313913.44,58221.61,0.185,125435.91,27255.65,4059546.54,3.941,36-45,Middle,7.4,Low,Good,45-60%,,False,0.25,0.0
LOAN000049,CUST14375,Home Loan,2717255.69,250,8.84,2024-09-11,Property,4197582.36,23819.32,Home Purchase,776.0,0.532,0.647,1,12,Current,0,Low,53032.17,Meera Sharma,64,Male,Indian,Retired,Salaried,Delhi,Delhi,Retail,Jade,Discounted,Advisor A,2009-04-25,874386.72,72865.56,791887.27,129640.78,454896.97,218473.64,32645.14,0.149,73411.79,22832.65,1376425.02,1.574,56-65,Middle,17.2,Low,Very Good,45-60%,60-80%,True,3.11,1340830.67
LOAN000050,CUST10105,Home Loan,2255450.35,243,6.6,2019-04-28,Property,4072628.48,16848.36,Home Purchase,663.0,0.209,0.554,0,0,Current,0,Low,15834.23,Nisha Wilson,50,Male,Asian,Architect,Salaried,Jaipur,West Bengal,Private Banking,Silver,Standard,Advisor B,2020-10-23,1013562.79,84463.57,1517328.15,78142.92,608901.14,77885.32,4609.24,0.059,137918.79,6275.93,2204372.21,2.175,46-55,Middle,5.7,Low,Fair,<=35%,<=60%,False,2.23,51078.14000000013
LOAN000051,CUST13383,Home Loan,2570019.01,249,7.95,2024-09-24,Property,2908442.17,21102.8,Home Purchase,684.0,0.673,0.884,5,176,Defaulted,1,High,90959.43,Kiara Das,29,Female,Indian,Lawyer,Self Employed,Pune,Tamil Nadu,Retail,Silver,Standard,Advisor C,2017-06-18,745043.17,62086.93,1833626.01,89923.16,739585.73,235992.3,49720.26,0.211,113005.99,19697.71,2663134.9,3.574,26-35,Lower Middle,9.1,Low,Good,>60%,80-95%,True,3.45,0.0
